Tool;Model;RunIndex;PhaseName;MetricName;MetricValue
ATLEMFTVMImproved;GeneratedI8O2Seed68.ttmodel;3;Load;Time;166587900
ATLEMFTVMImproved;GeneratedI8O2Seed68.ttmodel;3;Load;Memory;5323616
ATLEMFTVMImproved;GeneratedI8O2Seed68.ttmodel;3;Run;Time;259231300
ATLEMFTVMImproved;GeneratedI8O2Seed68.ttmodel;3;Run;Memory;5568120
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;4;Initialization;Time;256279000
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;4;Initialization;Memory;4703592
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;4;Load;Time;126835100
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;4;Load;Memory;3593024
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;4;Run;Time;557331600
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;4;Run;Memory;4952608
EMFSolutionATL;GeneratedI8O2Seed68.ttmodel;4;Initialization;Time;242633100
EMFSolutionATL;GeneratedI8O2Seed68.ttmodel;4;Initialization;Memory;4704408
EMFSolutionATL;GeneratedI8O2Seed68.ttmodel;4;Load;Time;197889600
EMFSolutionATL;GeneratedI8O2Seed68.ttmodel;4;Load;Memory;3964528
EMFSolutionATL;GeneratedI8O2Seed68.ttmodel;4;Run;Time;45068546300
EMFSolutionATL;GeneratedI8O2Seed68.ttmodel;4;Run;Memory;4734088
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;4;Initialization;Time;504934500
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;4;Initialization;Memory;4569720
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;4;Load;Time;72093400
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;4;Load;Memory;4957672
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;4;Run;Time;72837200
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;4;Run;Memory;5012424
ATLEMFTVMImproved;GeneratedI8O2Seed68.ttmodel;4;Initialization;Time;521693100
ATLEMFTVMImproved;GeneratedI8O2Seed68.ttmodel;4;Initialization;Memory;4569616
ATLEMFTVMImproved;GeneratedI8O2Seed68.ttmodel;4;Load;Time;164899400
ATLEMFTVMImproved;GeneratedI8O2Seed68.ttmodel;4;Load;Memory;5326768
ATLEMFTVMImproved;GeneratedI8O2Seed68.ttmodel;4;Run;Time;267152400
ATLEMFTVMImproved;GeneratedI8O2Seed68.ttmodel;4;Run;Memory;5571304
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;5;Initialization;Time;229834400
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;5;Initialization;Memory;4703952
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;5;Load;Time;95625500
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;5;Load;Memory;3593096
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;5;Run;Time;523389900
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;5;Run;Memory;4946968
EMFSolutionATL;GeneratedI8O2Seed68.ttmodel;5;Initialization;Time;224787600
EMFSolutionATL;GeneratedI8O2Seed68.ttmodel;5;Initialization;Memory;4703720
EMFSolutionATL;GeneratedI8O2Seed68.ttmodel;5;Load;Time;201008000
EMFSolutionATL;GeneratedI8O2Seed68.ttmodel;5;Load;Memory;3962376
EMFSolutionATL;GeneratedI8O2Seed68.ttmodel;5;Run;Time;44698766100
EMFSolutionATL;GeneratedI8O2Seed68.ttmodel;5;Run;Memory;4730336
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;5;Initialization;Time;512300100
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;5;Initialization;Memory;4570304
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;5;Load;Time;69809200
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;5;Load;Memory;4958424
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;5;Run;Time;78783400
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;5;Run;Memory;5067392
ATLEMFTVMImproved;GeneratedI8O2Seed68.ttmodel;5;Initialization;Time;513947800
ATLEMFTVMImproved;GeneratedI8O2Seed68.ttmodel;5;Initialization;Memory;4569840
ATLEMFTVMImproved;GeneratedI8O2Seed68.ttmodel;5;Load;Time;150237500
ATLEMFTVMImproved;GeneratedI8O2Seed68.ttmodel;5;Load;Memory;5322168
ATLEMFTVMImproved;GeneratedI8O2Seed68.ttmodel;5;Run;Time;259696100
ATLEMFTVMImproved;GeneratedI8O2Seed68.ttmodel;5;Run;Memory;5567856
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;6;Initialization;Time;245459500
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;6;Initialization;Memory;4703752
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;6;Load;Time;97902700
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;6;Load;Memory;3593072
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;6;Run;Time;669604800
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;6;Run;Memory;4617112
EMFSolutionATL;GeneratedI8O2Seed68.ttmodel;6;Initialization;Time;235782800
EMFSolutionATL;GeneratedI8O2Seed68.ttmodel;6;Initialization;Memory;4704040
EMFSolutionATL;GeneratedI8O2Seed68.ttmodel;6;Load;Time;179769700
EMFSolutionATL;GeneratedI8O2Seed68.ttmodel;6;Load;Memory;3960816
EMFSolutionATL;GeneratedI8O2Seed68.ttmodel;6;Run;Time;44571467900
EMFSolutionATL;GeneratedI8O2Seed68.ttmodel;6;Run;Memory;4723104
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;6;Initialization;Time;684528800
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;6;Initialization;Memory;4569968
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;6;Load;Time;76635400
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;6;Load;Memory;4952872
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;6;Run;Time;88642500
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;6;Run;Memory;5061896
ATLEMFTVMImproved;GeneratedI8O2Seed68.ttmodel;6;Initialization;Time;694469400
ATLEMFTVMImproved;GeneratedI8O2Seed68.ttmodel;6;Initialization;Memory;4572864
ATLEMFTVMImproved;GeneratedI8O2Seed68.ttmodel;6;Load;Time;165473300
ATLEMFTVMImproved;GeneratedI8O2Seed68.ttmodel;6;Load;Memory;5323064
ATLEMFTVMImproved;GeneratedI8O2Seed68.ttmodel;6;Run;Time;276620700
ATLEMFTVMImproved;GeneratedI8O2Seed68.ttmodel;6;Run;Memory;5567984
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;7;Initialization;Time;234927300
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;7;Initialization;Memory;4704040
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;7;Load;Time;97947300
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;7;Load;Memory;3593128
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;7;Run;Time;516516000
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;7;Run;Memory;4943640
EMFSolutionATL;GeneratedI8O2Seed68.ttmodel;7;Initialization;Time;223411200
EMFSolutionATL;GeneratedI8O2Seed68.ttmodel;7;Initialization;Memory;4703680
EMFSolutionATL;GeneratedI8O2Seed68.ttmodel;7;Load;Time;185753300
EMFSolutionATL;GeneratedI8O2Seed68.ttmodel;7;Load;Memory;3961264
EMFSolutionATL;GeneratedI8O2Seed68.ttmodel;7;Run;Time;48113186700
EMFSolutionATL;GeneratedI8O2Seed68.ttmodel;7;Run;Memory;4729416
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;7;Initialization;Time;557695500
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;7;Initialization;Memory;4568256
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;7;Load;Time;75577400
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;7;Load;Memory;4951160
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;7;Run;Time;76780000
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;7;Run;Memory;5059528
ATLEMFTVMImproved;GeneratedI8O2Seed68.ttmodel;7;Initialization;Time;660595900
ATLEMFTVMImproved;GeneratedI8O2Seed68.ttmodel;7;Initialization;Memory;4569968
ATLEMFTVMImproved;GeneratedI8O2Seed68.ttmodel;7;Load;Time;173201800
ATLEMFTVMImproved;GeneratedI8O2Seed68.ttmodel;7;Load;Memory;5318464
ATLEMFTVMImproved;GeneratedI8O2Seed68.ttmodel;7;Run;Time;321093700
ATLEMFTVMImproved;GeneratedI8O2Seed68.ttmodel;7;Run;Memory;5565112
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;8;Initialization;Time;242426000
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;8;Initialization;Memory;4704400
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;8;Load;Time;96592900
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;8;Load;Memory;3592832
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;8;Run;Time;623765800
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;8;Run;Memory;4946528
EMFSolutionATL;GeneratedI8O2Seed68.ttmodel;8;Initialization;Time;232169800
EMFSolutionATL;GeneratedI8O2Seed68.ttmodel;8;Initialization;Memory;4703680
EMFSolutionATL;GeneratedI8O2Seed68.ttmodel;8;Load;Time;206630800
EMFSolutionATL;GeneratedI8O2Seed68.ttmodel;8;Load;Memory;3961552
EMFSolutionATL;GeneratedI8O2Seed68.ttmodel;8;Run;Time;44752029500
EMFSolutionATL;GeneratedI8O2Seed68.ttmodel;8;Run;Memory;4718224
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;8;Initialization;Time;651748400
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;8;Initialization;Memory;4570104
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;8;Load;Time;77658900
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;8;Load;Memory;4504040
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;8;Run;Time;79099400
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;8;Run;Memory;5069608
ATLEMFTVMImproved;GeneratedI8O2Seed68.ttmodel;8;Initialization;Time;602509100
ATLEMFTVMImproved;GeneratedI8O2Seed68.ttmodel;8;Initialization;Memory;4569976
ATLEMFTVMImproved;GeneratedI8O2Seed68.ttmodel;8;Load;Time;154881800
ATLEMFTVMImproved;GeneratedI8O2Seed68.ttmodel;8;Load;Memory;5317368
ATLEMFTVMImproved;GeneratedI8O2Seed68.ttmodel;8;Run;Time;302852900
ATLEMFTVMImproved;GeneratedI8O2Seed68.ttmodel;8;Run;Memory;5560928
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;9;Initialization;Time;230867500
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;9;Initialization;Memory;4704040
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;9;Load;Time;98615000
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;9;Load;Memory;3593320
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;9;Run;Time;890241700
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;9;Run;Memory;4622440
EMFSolutionATL;GeneratedI8O2Seed68.ttmodel;9;Initialization;Time;253037200
EMFSolutionATL;GeneratedI8O2Seed68.ttmodel;9;Initialization;Memory;4704232
EMFSolutionATL;GeneratedI8O2Seed68.ttmodel;9;Load;Time;196556800
EMFSolutionATL;GeneratedI8O2Seed68.ttmodel;9;Load;Memory;3960440
EMFSolutionATL;GeneratedI8O2Seed68.ttmodel;9;Run;Time;46676957800
EMFSolutionATL;GeneratedI8O2Seed68.ttmodel;9;Run;Memory;4728768
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;9;Initialization;Time;784113100
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;9;Initialization;Memory;4557696
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;9;Load;Time;102966200
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;9;Load;Memory;4962792
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;9;Run;Time;73724300
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;9;Run;Memory;5019288
ATLEMFTVMImproved;GeneratedI8O2Seed68.ttmodel;9;Initialization;Time;519652800
ATLEMFTVMImproved;GeneratedI8O2Seed68.ttmodel;9;Initialization;Memory;4569760
ATLEMFTVMImproved;GeneratedI8O2Seed68.ttmodel;9;Load;Time;155027100
ATLEMFTVMImproved;GeneratedI8O2Seed68.ttmodel;9;Load;Memory;5318768
ATLEMFTVMImproved;GeneratedI8O2Seed68.ttmodel;9;Run;Time;293550800
ATLEMFTVMImproved;GeneratedI8O2Seed68.ttmodel;9;Run;Memory;5560224
